trigger,replacement
hoeng,homogeneously enhancing
homly,homogeneously
homo,homogeneous
hpec,HPE correlation
hsi,high signal intensity
ht,height
htn,hypertension
hwe,however
hx,history
hyperd,hyperdense
hyperdy,hyperdensity
hyperen,hyperenhancement
hypereng,hyperenhancing
hyperenhg,hyperenhancing
hypod,hypodense
hypody,hypodensity
hypoen,hypoenhancement
hypoeng,hypoenhancing
hypoenhg,hypoenhancing
iac,internal acoustic canal
ic,internal capsule
ica,internal carotid artery
ich,intracerebral hemorrhage
icj,ileo-cecal junction
ics,intercostal space
id,ill-defined
ihbd,intrahepatic bile ducts
ihbr,intrahepatic biliary radicals
iia,internal iliac artery
iiv,internal iliac vein
ijv,internal jugular vein
ild,interstitial lung disease
im,intramuscular
ima,inferior mesenteric artery
imln,intramammary lymph node
imv,inferior mesenteric vein
ind,indeterminate
inf,inferior
infil,infiltration
infl,inflammatory
infy,inferiorly
inp,infective pathology
int,intermediate
intm,intermediate
inv,involving
ipc,interpolar calyx
ipco,interpolar cortex
ips,ipsilateral
irr,irregular
isi,iso signal intensity
isod,isodense
iss,inferior sagittal sinus
itfo,in the form of
ith,inferior turbinate hypertrophy
ivc,inferior vena cava
ivd,intervertebral disc
ivds,intervertebral discs
ivh,intraventricular hemorrhage
jxn,junction
jz,junctional zone
kco,known case of 
kje,knee joint effusion
kjs,knee joint space
l1,L1
l12,L1-L2
l2,L2
l23,L2-L3
l3,L3
l34,L3-L4
l4,L4
l45,L4-L5
l5,L5
l51,L5-S1
lad,left anterior descending artery
larm,largest measuring
larma,largest measuring approximately
lat,lateral
laty,laterally
lb,left breast
lbs,lateral basal segment
lca,left coronary artery
lcl,lateral collateral ligament
lcx,left circumflex artery
les,lesion
letm,longitudinally extensive transverse myelitis
lev,level
lfc,linear fibrotic changes
lfh,ligamentum flavum hypertrophy
lga,left gastric artery
lhd,left hepatic duct
lhv,left hepatic vein
lif,left iliac fossa
lig,ligament
lir,(Left > Right)
lk,left kidney
lll,left lower lobe
llq,left lower quadrant
lm,lateral meniscus
ln,lymph node
lns,lymph nodes
locl,Loss of cervical lordosis is seen
locll,Loss of cervical and lumbar lordosis is seen
lofp,loss of fat plane
loll,Loss of lumbar lordosis is seen
lpc,lower pole calyx
lpco,lower pole cortex
lpy,lymphadenopathy
lr,lateral recess
lrc,likely reactive
ls,lumbar spine
lsi,low signal intensity
lss,lumbosacral spine
lt,left
lul,left upper lobe
lun,luminal narrowing
luq,left upper quadrant
lus,luminal stenosis
malig,malignant
maligp,malignant pathology
mas,maxillary sinus
masi,maxillary sinus
max,maximum
maxi,maxillary
mbs,medial basal segment
mca,middle cerebral artery
mcl,medial collateral ligament
mea,measuring
meaa,measuring approximately
meas,measures
mec,middle ear cavity
med,medial
medly,mediastinal lymphadenopathy
medy,medially
mef,mass effect
mem,medial meniscus
mets,metastasis
mfp,maintained fat plane
mhv,middle hepatic vein
min,minimal
mn,micronodule
mns,micronodules
mod,moderate
mogad,myelin oligodendrocyte glycoprotein antibody-associated disease
mos,marginal osteophytes
movt,movement
mpa,main pulmonary artery
mpd,main pancreatic duct
mpt,main pulmonary trunk
mpv,main portal vein
mra,main renal artery
mrv,main renal vein
ms,multiple sclerosis
mul,multiple
mus,muscle
mvl,multiple vertebral levels
mvs,multiple variable sized
n,and
na,noted at
nap,non-calcified atherosclerotic plaques
nar,narrowing
nb,nasal bone
nc,nasal cavity
ncc,neurocysticercosis
neg,non-enhancing
nehng,non-enhancing
nenhg,non-enhancing
nf,neural foramina
ngt,nasogastric tube
ni,noted in
nl,nephrolithiasis
nmosd,neuromyelitis optica spectrum disorder
nof,normal findings
nonopa,non-opacification
nonvis,non-visualization
nor,normal
nos,"No septations, solid component or calcification noted within"
nr,nerve root
nsf,non-specific
nsl,Nasal septum is deviated to left
nsr,Nasal septum is deviated to right
nt,noted
nu,nucleus
num,number
nv,not visualized
nw,noted within
oa,osteoarthritic
obl,obliteration
obs,obstruction
obv,obvious
occ,occlusion
occb,occipital bone
occl,occipital lobe
om,oto-mastoiditis
omc,ostiomeatal complex
opa,opacification
opd,opacified
ow,otherwise
pa,posteroanterior
paco,patchy consolidation
paf,posterior annular fissure
pah,pulmonary arterial hypertension
panc,pancreas
pans,pansinusitis
paraa,paraaortic
parat,paratracheal
parb,parietal bone
paren,parenchyma
parl,parietal lobe
pars,pars interarticularis
pat,patchy
path,pathology
pbs,posterobasal segment
pc,portocaval
pca,posterior cerebral artery
pce,post-contrast enhancement
pci,post-contrast images
pcl,posterior collateral ligament
pcom,posterior communicating artery
pcpo,partially circumscribed partially obscured
pcs,pelvicalyceal system
pda,posterior descending artery
pdfs,PD FS
pdp,paracentral disc protrusion
pe,pulmonary embolism
peed,perilesional edema
pera,peroneal artery
peric,pericardial
perig,perigastric
perile,perilesional edema
perin,perinephric
perip,periportal
peripa,peripancreatic
periv,periventricular
pes,partially empty sella
pess,There is fluid signal intensity noted in the pituitary fossa suggestive of partial empty sella
pf,patchy fibrosis
pfc,patchy fibrotic changes
pinf,posteroinferior
pit,pituitary
pj,pancreaticojejunostomy
plat,posterolateral
plc,pleural cavity
ple,pleural effusion
pll,posterior longitudinal ligament
pmed,posteromedial
pns,paranasal sinuses
poc,post-operative changes
pod,pouch of Douglas
polip,Soft tissue density with convex outward margin is noted in right maxillary sinus – polyp/ retention cyst
popa,popliteal artery
popv,popliteal vein
pos,posterior
postop,post-operative
posy,posteriorly
pp,peripheral
ppc,post-procedural changes
pred,predominantly
prev,prevascular
pri,primary
prob,probably
prom,prominent
prox,proximal
psup,posterosuperior
pt,patient
pta,posterior tibial artery
pto,parieto-temporo-occipital
ptv,posterior tibial vein
puj,pelviureteric junction
pujo,pelviureteric junction obstruction
pul,pulmonary
pula,pulmonary artery
pulv,pulmonary vein
pv,portal vein
pvwm,periventricular white matter
quad,quadrant
r,are
rada,relations and extensions as described above
rasd,right anterior sectoral duct
rb,right breast
rca,right coronary artery
rcc,renal cell carcinoma
rebr,Rest of the brain is normal in morphology and signal intensity
recc,renal cortical cyst (Bosniak cat-I)
redr,Rest of the intervertebral discs are normal in height and signal intensity
ref,reformation
reg,region
relr,Rest of the lung fields shows normal attenuation and normal in aeration
rena,renal artery
renv,renal vein
res,restriction of diffusion on DWI
resp,respectively
retly,retroperitoneal lymphadenopathy
rhd,right hepatic duct
rhv,right hepatic vein
ri,resulting in
rif,right iliac fossa
ril,(Right > Left)
rk,right kidney
rll,right lower lobe
rlq,right lower quadrant
rml,right middle lobe
rot,rest of the
rp,retroperitoneum
rpl,retroperitoneal
rpsd,right posterior sectoral duct
rt,right
rul,right upper lobe
ruq,right upper quadrant
rxn,reaction
s/o,suggestive of
s/p,status post
s1,S1
s12,S1-S2
s2,S2
s3,S3
s4,S4
s5,S5
sag,sagittal
sah,subarachnoid hemorrhage
sc,subcutaneous
sca,subclavian artery
scat,scattered
scc,semicircular canal
scd,skin to calculus distance of
scm,sternocleidomastoid
scp,subcutaneous plane
sdh,subdural hemorrhage
sec,secondary
seg,segment
segs,segments
seq,sequelae
sev,severe
sfa,superficial femoral artery
sfv,superficial femoral vein
si,signal intensity
sig,significant
sigc,sigmoid colon
sij,sacro-iliac joint
sins,Mucosal thickening noted in bilateral maxillary sinus - suggestive of sinusitis
slo,spanning a length of
sma,superior mesenteric artery
smv,superior mesenteric vein
snp,sinonasal polyposis
sol,space occupying lesion
sot,some of the
spc,spinal cord
sph,sphenoid
sphs,sphenoid sinus
spla,splenic artery
ss,sigmoid sinus
sss,superior sagital sinus
ssv,short saphenous vein
st,STIR
std,soft tissue density
stn,stenosis
str,structure
sts,soft tissue strandings
subc,subcarinal
subcm,subcentimetric
subseg,subsegmental
sup,superior
supp,suppressed
suprac,supraclavicular
supraclav,supraclavicular
supy,superiorly
sur,surrounding
susp,suspicious
svc,superior vena cava
svd,Small vessel disease
svdf,Small vessel disease (Fazekas grade-I)
svds,Discrete and confluent T2/FLAIR high signal intensities are noted in bilateral periventricular white matter and centrum semi-ovale
svdsc,Multiple hypodensities are noted in bilateral periventricular white matter and centrum semi-ovale
sx,surgery
sym,symmetrical
t1,T1
t2,T2
ta,there are
tb,tuberculosis
tc,tiny calculi (<3mm)
tcc,transitional cell carcinoma
tcs,tiny calculus (<3mm)
temb,temporal bone
teml,temporal lobe
thad,"Geographic arterial phase hyperenhancement is seen in segment ... of the liver without associated mass effect or contour abnormality, becoming isodense on portal venous phase - suggestive of transient hepatic attenuation difference (THAD)"
thic,thickening
thr,thrombosis
thru,through
thrut,throughout
thy,thyroid
ti,there is
tib,tree in bud pattern
tm,tympanic membrane
tmas,T2 high signal intensity noted in bilateral maxillary sinus - suggestive of sinusitis
tnr,traversing nerve root
tpor,T2 high signal intensity with convex free margin is noted in right maxillary sinus - polyp/ retention cyst
tpt,tibioperoneal trunk
tr,there are
tra,transverse
trab,traction bronchiectasis
trac,transverse colon
trans,translation
tras,transverse sinus
trif,trifurcation
ts,thecal sac
tx,treatment
ub,urinary bladder
ube,Urinary bladder is empty
ubef,Urinary bladder is empty with Foley's in situ
ubm,Urinary bladder is minimally filled
ubmf,Urinary bladder is minimally filled with Foley's in situ
ubp,Urinary bladder is partially filled
ubpf,Urinary bladder is partially filled with Foley's in situ
ud,upstream dilatation
upc,upper pole calyx
upco,upper polar cortex
usg,ultrasound
usgc,USG correlation
vb,vertebral body
ven,ventricle
ver,vertebra
vis,visualized
vl,vertebral level
vol,volume
voll,volume loss
vrs,"Multiple tiny T2 high signal intensity foci noted in  bilateral frontoparietal lobe which are suppressed on FLAIR , likely Virchow Robin spaces"
vuj,vesicoureteric junction
w,with
wd,well-defined
wi,which is
wm,white matter
wo,without
wss,whole spine screening
wt,weight
